step,energy
0,-0.20281741
1,-0.14965793
2,-0.29769477
3,-0.34087345
4,-0.3747001
5,-0.47825044
6,-0.24348533
7,-0.3783945
8,-0.4325245
9,-0.32313704
10,-0.35890707
11,-0.32569838
12,0.059775412
13,0.08020532
14,-0.06655547
15,0.03478062
16,0.20372102
17,0.10419616
18,0.15574306
19,0.24940315
20,0.35457927
21,0.34934404
22,0.36866063
23,0.25736356
24,0.32849374
25,0.3607759
26,0.29637367
27,0.39805934
28,0.55990803
29,0.6629974
30,0.50501466
31,0.6310621
32,0.5908323
33,0.80767334
34,1.0474334
35,1.0290606
36,0.69984555
37,0.43635076
38,0.6397953
39,0.4387893
40,0.43190333
41,0.37704945
42,0.211095
43,0.09361294
44,0.13938433
45,0.12286198
46,0.21312961
47,0.19549677
48,0.14188805
49,0.14752254
50,0.28211674
51,0.36813945
52,0.32687324
53,0.26851317
54,0.33035305
55,0.51203275
56,0.65809083
57,0.6384787
58,0.6506443
59,0.5111195
60,0.32290936
61,0.38230008
62,0.4209392
63,0.8228239
64,0.31018186
65,0.119737685
66,0.04129654
67,-0.31888056
68,-0.3263253
69,-0.5192747
70,-0.5323222
71,-0.3230742
72,-0.19020486
73,-0.12562251
74,-0.15422004
75,-0.24390209
76,-0.380638
77,-0.41313446
78,-0.3241382
79,-0.32884246
80,-0.33769113
81,-0.25318432
82,-0.32754555
83,-0.47218764
84,-0.27315998
85,-0.17506805
86,-0.19944605
87,-0.2473777
88,-0.34144485
89,-0.34619662
90,0.3176021
91,0.3006997
92,-0.0038809776
93,-0.24132097
94,-0.117239416
95,-0.31838512
96,-0.18234098
97,-0.025323212
98,-0.14551532
99,-0.020552814
100,0.21696305
101,0.26295465
102,0.4553016
103,0.30301157
104,0.31012604
105,0.46509755
106,0.5224836
107,0.45513332
108,0.44389984
109,0.3895247
110,0.6977608
111,0.4829165
112,0.58529496
113,0.92818916
114,0.3042158
115,0.16507405
116,0.25700283
117,0.14789975
118,0.18558562
119,0.43474716
120,0.72828126
121,0.6818108
122,0.9671443
123,1.2555814
124,0.9033614
125,0.8909091
126,0.46880525
127,0.09725368
128,0.30745614
129,-0.23926446
130,-0.06952709
131,0.23953933
132,0.43526834
133,-0.063088834
134,-0.24537943
135,-0.14198595
136,-0.21066627
137,-0.14614964
138,-0.4033025
139,-0.5265426
140,-0.58162034
141,-0.6642802
142,-0.6206753
143,-0.8393216
144,-0.92900187
145,-1.0057447
146,-1.0954076
147,-1.2280247
148,-1.2342713
149,-1.3004943
150,-0.34029698
151,-0.35745794
152,-0.36753035
153,-0.42872617
154,-0.18542725
155,-0.28203052
156,0.22052728
157,-0.017724574
158,0.07600817
159,-0.018035352
160,-0.02830258
161,0.14066721
162,-0.035295635
163,0.011322528
164,-0.053596064
165,-0.17244914
166,-0.24132547
167,-0.26689324
168,-0.3301571
169,-0.4331993
170,-0.34953797
171,-0.010753259
172,0.22563688
173,0.25812495
174,0.24079876
175,0.07700129
176,0.09139478
177,0.24950774
178,0.2936187
179,0.09472123
180,0.2582257
181,0.15458043
182,0.42363998
183,0.27592716
184,0.11578441
185,0.3491176
186,0.09330273
187,0.18375775
188,0.37836984
189,0.13305941
190,-0.28411806
191,-0.34699094
192,-0.17135938
193,0.041964576
194,-0.009839505
195,-0.19403774
196,-0.26415417
197,-0.3155834
198,-0.3941543
199,-0.52244574
200,-0.32111442
201,-0.3330372
202,-0.46042085
203,-0.51379806
204,-0.43784058
205,-0.37325364
206,-0.45176405
207,-0.43532795
208,-0.4533528
209,-0.47650385
210,-0.33300346
211,-0.282246
212,-0.21666124
213,-0.29281062
214,-0.3410664
215,-0.33447152
216,-0.39621902
217,-0.35578835
218,-0.39571342
219,-0.28294438
220,-0.20327148
221,-0.27675205
222,-0.2666469
223,-0.29267046
224,-0.12395948
225,-0.06447929
226,0.034310192
227,0.084433824
228,0.07373279
229,-0.041517407
230,-0.118587464
231,-0.14414996
232,-0.020873368
233,-0.0023538768
234,0.1432515
235,0.10272539
236,0.1809312
237,0.17646405
238,0.19246075
239,0.25064448
240,0.28225675
241,0.3249333
242,0.26547775
243,0.36821675
244,0.13935935
245,0.06651661
246,-0.048924357
247,-0.088810325
248,-0.004534781
249,-0.019531518
250,0.0966647
251,0.17378524
252,0.004860133
253,-0.17167234
254,-0.050300807
255,-0.27326512
256,-0.4698208
257,-0.23142952
258,-0.121388555
259,-0.17087547
260,-0.028421387
261,-0.22961426
262,-0.21967316
263,-0.21372586
264,-0.16411439
265,-0.095266566
266,-0.1743057
267,-0.16671589
268,-0.12333754
269,-0.22809264
270,-0.14326441
271,-0.07737622
272,0.06402171
273,0.082776636
274,0.054951996
275,0.18785816
276,0.05049309
277,0.025377035
278,0.13095114
279,-0.03410545
280,0.012163669
281,0.014069706
282,0.17998672
283,0.42298865
284,0.40003258
285,0.58033454
286,0.2528101
287,0.0033972263
288,0.24543142
289,0.21048713
290,1.2034504
291,1.0448761
292,2.551156
293,3.1724281
294,3.001691
295,2.5181782
296,2.1360552
297,1.644156
298,2.2064393
299,2.5651002
300,1.795041
301,1.8950853
302,1.5332209
303,1.2332681
304,1.9170847
305,1.6318846
306,1.6094899
307,1.634041
308,2.0714436
309,1.9376749
310,1.4166704
311,1.498848
312,1.367013
313,1.5895686
314,1.2122577
315,1.1525842
316,1.6554583
317,1.4742744
318,1.1808414
319,1.0788714
320,0.9760363
321,1.0742061
322,1.0029018
323,0.96769565
324,0.98493975
325,0.60271835
326,0.5496217
327,0.55642974
328,0.69185567
329,0.80761886
330,0.73292905
331,0.6154562
332,0.67703855
333,0.6642773
334,0.61941034
