step,energy,ewmean,ewvar,pmove
0,-15.473326,-15.473326,-0.0,0.9620001
1,-16.283236,-15.5543165,0.059035856,0.9480001
2,-16.159103,-15.614796,0.08605131,0.924
3,-16.64813,-15.718129,0.17354643,0.9480001
4,-16.145283,-15.760844,0.1726132,0.929
5,-16.470179,-15.831778,0.20063585,0.92200005
6,-16.874699,-15.9360695,0.27846384,0.924
7,-16.964941,-16.038956,0.34588936,0.938
8,-17.2342,-16.15848,0.43987513,0.90900004
9,-17.92028,-16.33466,0.67524236,0.92
10,-17.638971,-16.465092,0.76082873,0.91700006
11,-17.42199,-16.560781,0.76715463,0.906
12,-17.425343,-16.647238,0.7577111,0.92600006
13,-17.669098,-16.749424,0.7759178,0.919
14,-17.802738,-16.854755,0.7981784,0.94100004
15,-18.92347,-17.061626,1.1035225,0.924
16,-18.188128,-17.174276,1.1073806,0.933
17,-18.725775,-17.329426,1.2132858,0.92700005
18,-18.527763,-17.449259,1.2211983,0.91800004
19,-18.392246,-17.543558,1.1791087,0.92800003
20,-19.079876,-17.69719,1.2736224,0.92700005
21,-18.839457,-17.811417,1.2636898,0.92100006
22,-18.788857,-17.90916,1.2233057,0.91700006
23,-18.972885,-18.015533,1.202811,0.92700005
24,-19.546692,-18.16865,1.29353,0.93500006
25,-19.554598,-18.307245,1.3370537,0.9110001
26,-19.506544,-18.427176,1.3327968,0.92300004
27,-19.636877,-18.548145,1.3312211,0.938
28,-19.49274,-18.642605,1.2784023,0.91700006
29,-20.15935,-18.79428,1.3576083,0.91300005
30,-20.382666,-18.953117,1.4489149,0.90700006
31,-20.525644,-19.11037,1.526579,0.93100005
32,-20.785288,-19.277863,1.6264024,0.934
33,-21.174736,-19.46755,1.7875937,0.929
34,-20.805027,-19.601297,1.7698302,0.93900007
35,-21.23141,-19.764309,1.8320009,0.92
36,-21.844849,-19.972363,2.0383787,0.92
37,-21.383753,-20.113503,2.0138228,0.91200006
38,-21.01763,-20.203915,1.8860106,0.90400004
39,-21.320805,-20.315603,1.8096795,0.9110001
40,-21.292097,-20.413252,1.7145302,0.92100006
41,-21.45339,-20.517265,1.640447,0.92
42,-21.814754,-20.647015,1.6279154,0.9110001
43,-22.038326,-20.786146,1.6393411,0.91
44,-22.425192,-20.95005,1.7171893,0.91700006
45,-22.688972,-21.123943,1.8176169,0.92200005
46,-22.784077,-21.289957,1.883899,0.92200005
47,-23.300684,-21.49103,2.0593812,0.901
48,-23.25895,-21.667822,2.1347415,0.91400003
49,-23.391518,-21.84019,2.1886687,0.90900004
50,-23.812109,-22.037382,2.3197634,0.90200007
51,-23.884462,-22.22209,2.3948405,0.90300006
52,-23.951977,-22.395079,2.4246821,0.92100006
53,-25.307705,-22.68634,2.945719,0.91800004
54,-25.732304,-22.990936,3.4861574,0.89100003
55,-25.335405,-23.225384,3.6322298,0.92
56,-25.251743,-23.42802,3.6385584,0.92100006
57,-25.865078,-23.671726,3.8092349,0.90900004
58,-25.286343,-23.833187,3.66294,0.90300006
59,-26.107058,-24.060574,3.7619898,0.90300006
60,-26.325144,-24.287031,3.8473356,0.897
61,-26.548212,-24.51315,3.9227662,0.915
62,-27.099178,-24.771751,4.1323686,0.91700006
63,-26.984165,-24.992992,4.1596613,0.91600007
64,-26.912636,-25.184958,4.075348,0.90800005
65,-26.620384,-25.3285,3.8532536,0.89800006
66,-26.428396,-25.43849,3.5768075,0.887
67,-26.59238,-25.553879,3.3389583,0.92800003
68,-26.18751,-25.61724,3.041196,0.90300006
69,-26.624746,-25.71799,2.8284326,0.90200007
70,-26.160471,-25.76224,2.5632102,0.91700006
71,-26.524422,-25.838457,2.359172,0.90200007
72,-26.703661,-25.924978,2.1906269,0.90700006
73,-27.33185,-26.065666,2.1497002,0.88500005
74,-27.261784,-26.185278,2.0634928,0.892
75,-27.337952,-26.300545,1.9767226,0.93100005
76,-27.683584,-26.438848,1.951202,0.90000004
77,-28.24643,-26.619606,2.0501432,0.91
78,-28.603132,-26.817959,2.1992228,0.90700006
79,-34.60822,-27.596985,7.4412346,0.915
80,-28.980757,-27.735363,6.8694453,0.90500003
81,-28.614792,-27.823305,6.252106,0.9110001
82,-28.67333,-27.908308,5.691924,0.897
83,-29.0408,-28.021557,5.23816,0.8880001
84,-29.248905,-28.14429,4.849919,0.89300007
85,-30.33054,-28.362915,4.7950983,0.906
86,-29.56483,-28.483107,4.4456024,0.91200006
87,-29.566347,-28.59143,4.106649,0.89400005
88,-29.901262,-28.722414,3.8503933,0.90800005
89,-30.276415,-28.877813,3.6826966,0.90300006
90,-30.71207,-29.06124,3.6172316,0.8880001
91,-31.01238,-29.256353,3.5981343,0.901
92,-31.03731,-29.434448,3.5237832,0.89100003
93,-31.663322,-29.657335,3.618514,0.887
94,-32.12154,-29.903755,3.8031702,0.887
95,-32.15671,-30.129051,3.879676,0.892
96,-32.424347,-30.358582,3.9658628,0.883
97,-32.383606,-30.561085,3.9383414,0.89500004
98,-34.037457,-30.908722,4.6321716,0.901
99,-33.57751,-31.1756,4.8099737,0.89300007
100,-33.583668,-31.416407,4.8508673,0.89900005
101,-34.154366,-31.690203,5.040458,0.87600005
102,-34.442738,-31.965456,5.2182927,0.87000006
103,-34.48134,-32.217045,5.2661333,0.87200004
104,-35.317112,-32.52705,5.604457,0.8880001
105,-35.698692,-32.844215,5.9493494,0.85200006
106,-34.777733,-33.037567,5.6908784,0.86600006
107,-35.62133,-33.295944,5.7226152,0.87000006
108,-35.82585,-33.548935,5.7263923,0.85400003
109,-36.230423,-33.817085,5.800887,0.86200005
110,-36.16767,-34.052143,5.718071,0.87900007
111,-35.578316,-34.20476,5.3558917,0.88400006
112,-35.138428,-34.298126,4.8987584,0.88400006
113,-36.147217,-34.483036,4.7166047,0.87000006
114,-37.007736,-34.735504,4.818614,0.87200004
115,-36.716927,-34.933647,4.6900954,0.87000006
116,-36.504444,-35.09073,4.443152,0.85800004
117,-36.7657,-35.258224,4.2513347,0.85
118,-36.973675,-35.42977,4.0910506,0.87100005
119,-36.748848,-35.56168,3.8385422,0.84300005
120,-36.937733,-35.699284,3.625105,0.87100005
121,-37.878494,-35.917206,3.6900008,0.84200007
122,-37.49425,-36.07491,3.5448372,0.873
123,-37.73004,-36.24042,3.4369051,0.845
124,-37.402294,-36.35661,3.2147098,0.873
125,-37.54297,-36.475246,3.0199091,0.86300004
126,-37.612362,-36.58896,2.834291,0.86500007
127,-37.608135,-36.690876,2.6443467,0.86200005
128,-37.60579,-36.782368,2.4552479,0.85700005
129,-37.422787,-36.84641,2.2466354,0.86100006
130,-37.53123,-36.91489,2.0641801,0.86300004
131,-37.451332,-36.968536,1.8836613,0.85800004
132,-37.461243,-37.017807,1.7171434,0.88100004
133,-38.27754,-37.14378,1.6882521,0.855
134,-37.63386,-37.192787,1.541043,0.864
135,-37.674583,-37.240967,1.4078302,0.846
136,-37.52335,-37.269203,1.2742238,0.85800004
137,-37.703545,-37.312637,1.1637801,0.85
138,-37.480373,-37.32941,1.0499343,0.85
139,-37.46684,-37.343155,0.9466406,0.83800006
140,-37.75161,-37.384,0.8669917,0.85
141,-37.62229,-37.40783,0.785403,0.84200007
142,-37.95895,-37.46294,0.73419875,0.832
143,-37.808167,-37.497463,0.67150515,0.83400005
144,-37.479576,-37.495674,0.6043834,0.85600007
145,-37.772217,-37.523327,0.55082786,0.87100005
146,-38.415394,-37.612534,0.5673656,0.86500007
147,-38.050953,-37.656376,0.52792805,0.85600007
148,-37.963028,-37.687042,0.4835984,0.87200004
149,-37.897373,-37.708076,0.43922007,0.83900005
150,-37.85805,-37.723076,0.39732236,0.85200006
151,-37.81507,-37.732277,0.3583518,0.864
152,-37.993824,-37.75843,0.3286732,0.86200005
153,-37.203285,-37.702915,0.32354262,0.86800003
154,-37.75448,-37.708073,0.29142764,0.85600007
155,-37.436058,-37.68087,0.26894414,0.85400003
156,-37.489807,-37.661762,0.24533519,0.85600007
157,-37.605625,-37.656147,0.2210853,0.85700005
158,-37.06129,-37.59666,0.2308236,0.87000006
159,-37.43712,-37.580708,0.21003208,0.832
160,-37.47813,-37.57045,0.18997586,0.86200005
161,-37.902637,-37.60367,0.18090965,0.84800005
162,-37.691406,-37.612442,0.1635115,0.85300004
163,-37.916405,-37.642838,0.15547575,0.855
164,-38.108303,-37.689384,0.15942742,0.84000003
165,-37.98144,-37.71859,0.15116143,0.86
166,-37.85891,-37.73262,0.13781735,0.85700005
167,-38.036602,-37.76302,0.13235205,0.85400003
168,-37.730675,-37.759785,0.119211,0.86100006
169,-37.670815,-37.75089,0.10800231,0.845
170,-37.560215,-37.731823,0.100474164,0.85300004
171,-37.60736,-37.719376,0.09182092,0.86300004
172,-37.56481,-37.70392,0.084788926,0.85800004
173,-37.68108,-37.701633,0.07635698,0.859
174,-37.877308,-37.7192,0.07149881,0.846
175,-37.927883,-37.740067,0.0682683,0.86800003
176,-37.92187,-37.758247,0.06441623,0.85300004
177,-38.100357,-37.792458,0.06850812,0.84700006
178,-38.09647,-37.82286,0.06997542,0.85400003
179,-37.75124,-37.815697,0.06343954,0.85700005
180,-37.592808,-37.793407,0.06156674,0.83300006
181,-37.213455,-37.735413,0.08568108,0.84700006
182,-36.942898,-37.656162,0.13364016,0.87600005
183,-37.445477,-37.635094,0.1242711,0.85600007
